TRMT	cm's in a lip	If a doctor writes he had to fix 1/3 of a lip and it has to be translated into cm's how many cm's would that be?
GOAL	can temporary crown on upper molar cause pain in teeth below, around?	I had a tooth prepared for a crown last week. It was the upper molar, furthest back ( i don't have my wisdom teeth). I wasn't able to chew on the temporary crown even four or five days later. Then I started experiencing throbbing pain in the lower teeth, not the one directly below the tooth with the temporary crown, but the two further forward. I have been taking Tylenol since then, as soon as it wears off bottom teeth start to hurt again. Went to the dentist today and he filed the tooth down, but the bottom teeth still hurt. Could the crowned tooth be higher than the other teeth causing the two that are further forward to put more pressure on the ones below? What else could be causing this pain? The temporary crown only hurts when I chew on it, otherwise the tooth that was worked on is not that sore...Thanks, Carrie
DEMO	Strange vaginal discharge. Help me, I want my life back.	\A long time ago, I started getting a white, or yellowish discharge that smelled like vinegar and tasted bitter. They gave me antibiotics for BV, without even testing me. Then I got a very severe urinary tract infection. I was given strong antibiotics, again. All went back to normal and all was well. Then I got what they thought was a yeast infection, they tested me for STDs and did a pap. Everything came back normal and I didn't even have a yeast infection to begin with. I got several yeast infections (about 4 or 5) in the past 4 months. Now I don't know what's going on. My vagina feels raw, doesn't itch or burn, but still I get this thick, creamy, whitish, yellow discharge, that smells like vinegar and tastes bitter. I can no longer stay wet during sex, and sometimes cant even get wet. I can no longer orgasm, it hurts to have sex. Whatever this is, it is taking over my life. I'm embarrassed, and ashamed to let him even touch me. I desperately need someone to tell me what is going on with my body so that I can get my life back.I am on birth control, but i NEVER had these symptoms before, and i never had a reaction to condoms.
DEMO	weird feeling need help	So i have posted something already concering i might be pregnant. I took a plan B two days after i had unprotected sex and he came in me. I got my period although it was diffenet and then continued to have spotting the next two-three days after my period, its been 3 1/2weeks since, i have horrible gas and bloating, peeing more often, slightly tender breasts and now i am feeling weird stomach feelings, hard to explaine, and then as a girl im sure most of you might know this feeling, its almost like you are going to get your period. i get a feeling similar to that but if i were to get my peirod its not due for another week and a half. is this signs of pregnacy?
TRMT	Novasure vs Hysterectomy	Novasure vs Hysterectomy     Women's HealthWhen was Novasure created 20 years ago?    How long has the procedure been available?Is having the Novasure procedure and uterine ablation just a bandaid for a Hysterectomy? I'm 53 had ectopic pregnancy, 2 miscarriages, 3 abortions, (no full term) 3 D & C, PeriMenopausal,    I go through 10    pads a day for the first 5 days of my menstral cycle and my period lasts for 10 days.    I might skip 1 month ot 2 then I'm like clock work again. I had a Myomectomy 3 years ago.    Family history my Mom had a hysterectomy 51 many fibriods and heavy bleeding. Will I have to take hormones if I get a hysterectomy?Thank you for your quick comments!
DEMO	A young women experiencing clit discomfert/pain!	** Virgin, and no sexual activity. and no infections. I saw a gyno and was told that I was being irritated to the soap, fabric softer or the tightness of my clothes. I wear loose fitting cotton underwear. I had mentioned to them that i was experiencing mainly pinchy like sensations and achy where inner labias meet clit. I had cleaned there almost everyday in a warm bath, which I was told not to clean so deaply because vagina is self cleaning and it has a certain PH. But with the small amount of build up that I am to allow, I feel as if I had a small piece of toilet paper between the clit and left inner labia. It was a sensation like minor pin like pokes, I'd hardly call it pinching. But more like a dragging of a fine needle too, just like something was there. So I had gently cleaned only that side off build up, and no longer had that feeling when I was sitting. But sometimes during the time of ovulating and or just before my period, when I walk I can get a scraping like skratch, like a dragging of the two tissues against eachother, and it is quiet painful. It only happens during a couple steps that I take, and it fades away when I slow down my walking. This is the most form of pain I can get. Is this because I cleaned the build up away a day ago? Or is it because I am expecting my period any day now? Oh, I can sometimes be slitghly itchy but I dont feel the need to skratch or rub it away. My secretions are normal, im told. PLease answer, thanks!! Any suggestions as to what this can be and/or what I can do to make it better please? Can it be clitorodynia? or?This discussion is related toSwollen Lump on Outer Vagina/Groin.
TRMT	interesting article on mainstream medicine	"Ten realizations about ""mainstream medicine""When it comes to whether mainstream medicine really works, here are ten important ""reality check"" realizations to keep in mind:#1) If mainstream medicine really worked, then drug companies wouldn't have to commit scientific fraud to fake their clinical trials, would they?#2) If mainstream medicine really worked, then doctors, drugs companies and the FDA wouldn't be afraid of competition from nutritional supplements and natural remedies, and they wouldn't keep trying to censor or outlaw those natural remedies.#3) If mainstream medicine really worked, drug companies would gladly test their drugs side-by-side with nutritional remedies to see what works best. (http://www.naturalnews.com/028473_Z...)#4) If mainstream medicine really worked, health insurance costs would be extremely low. The only reason health insurance costs so much is because mainstream medicine doesn't cure anybody, and patients stay sick, which costs more money to keep treating!#5) If mainstream medicine really worked, then all the other countries in the world would be looking at the U.S. health care system and saying, ""Wow, we want THAT!""#6) If mainstream medicine really worked, drug companies would be out of business because virtually everybody would be healthy and therefore not need drugs on an ongoing basis.#7) If mainstream medicine really worked, doctors would largely put themselves out of business by teaching patients how to take care of their own health.#8) If mainstream medicine really worked, drug companies like Johnson & Johnson wouldn't have to pay kickbacks (bribes) to nursing homes to entice them to push more of their drugs onto helpless senior citizens.#9) If mainstream medicine really worked, the treatment of teenagers with chemotherapy wouldn't have to be enforced by court order with the threat of arrest and imprisonment of the parents (as happens in the U.S. today). (http://www.naturalnews.com/Abraham_...)#10) If mainstream medicine really worked, drug companies wouldn't need to advertise on television to persuade people to take drugs they don't need.Now, to hear mainstream medicine pushers say it, the only reason Americans are so sick and diseased right now is because -- get this -- not enough people are taking enough medications!Yes... if they could only convince more parents to drug more babies and toddlers; or if they could get more teens on four, five or six drugs at once; or if they could convince nursing homes to pop a dozen different meds into the mouths of senior citizens then we'd all be healthier!America, you see, suffers from a medication deficiency. That's the line of mainstream medicine: More meds = less disease. And now, they're trying to convince everyone that even healthy people now need meds (statin drugs) even if they show no symptoms of disease.So now -- get this -- being healthy is no longer enough to avoid medications! We're ALL supposed to be medicated, whether we're healthy or not.Mainstream medicine, you see, isn't satisfied to just treat sick people with its medications, radiation machines and surgical procedures: It wants to put all the healthy people on pills, too.And what will be the result of all this? Imagine in your own mind, for a moment: What will be the result if, say, Americans start taking twice as much medication as they do right now. Will Americans be healthier?Of course not. They will be more diseased. More medicated and chemically contaminated. The fish downstream will be even more polluted with pharmaceutical runoff and the bio sludge human waste ""compost"" products now being put on farms will be even more heavily saturated with medication chemicals.Will that create health for America? Of course not. Mainstream medicine does not work. And pushing mainstream medicine onto more people will only cause more sickness, more suffering and more bankruptcies across American households.It will, however, accomplish one very important thing: The obscene financial enrichment of a few powerful corporations like Pfizer, Merck, Johnson & Johnson and AstraZeneca.And that, my friends, is the entire point of mainstream medicine: To mainline the profits for Big Pharma, sideline the legitimate health problems of the American people, and streamline the criminal soaking of the rich, the poor and the recently-insured in order to turn sickness into profit.That's mainstream medicine for you. I'm sure glad I don't use it.http://www.naturalnews.com/028561_mainstream_medicine_health_care.html"
DEMO	is it possible this early ???	My stomach is feeling hard and if im pregnant im only two weeks is it possible for me to be experiencing this already ? I thought i was imagining it but im not the only one who has noticed it.
DEMO	infant bleeding	It is possible for a one month old female child to bleed as if it was a menstraul flow for a week?
FAML	"my son refuses to ""poop"""	"My 4 yr old son also refuses to ""poop"" on the toilet.. he crosses his legs all the time and holds in in!!Ive been to the dr.and the. pediatrition.!! and also have a child psycolgist come see him once every couple weeks.He has taken laxitives .. Ive tried everything. Nothing has yet to work. He is now in jr kindergarden and has not yet had an accident at school and seems to be fine. until he gets home then starts to hold it in again. I have to change his underwear at least 7 times a day because only a little bit will come out.I try to be postive also ive talked to him explained concequences that can happen if he doesnt go. Ive bribed him and still he will not go .. hes gone WEEKS without going. a month even. I dont understand what this is. I thaught he was the only one. Is there a name for this? and when do they grow out of it? what makes them scared? I dont get this at all. The dr did exrays and apparently theres nothing wrong with his bowels.So why does he do it?thank you!This discussion is related to4 Year Old Son Refuses to Poop."
GOAL	CANT SEEM TP GAIN MASS AND LOOSE WAIT	IM A 20 YR OLD MALE IM 5 10 145 IM TRYING TO LOOSE 10 POUNDS AND GAIN 20-30 POUNDS OF MUSCLE...I    WEIGHED ABOUT 180 6-8 MONTHS AGO..I VE BEEN DOING SUPER LOW CARB AND LIFTING 6-7 DAYS A WEEK...IM A T A STAND STILL NOW I CANT SEEM TO LOOSE THAT EXTRA 10 POUNDS AND I CANT SEEM TO GAIN MUSCLE...I NEED TO KNOW HOW TO DIET TO GET TO MY GOAL..HOW MANYY CARBS,HOW MUCH FAT,ECT,ECT....I ALSO HAVE EXTRA SKIN ALL OVER SO I NEED TO PUT ON A LOT OM LEAN MASS TO FILL IT OUT...I WAS ALSO WONDERING IF IM OVER TRANING IF SO IF I COULD GET SOME    ADVISE...I USALLY GET 2-3 FULL BODY WORK OUTS A WEEK. IS THAT TO MUCH?????                     SOMEONE GIVE ME SOME HELP PLEASE!!!!!!!!!!!
SOCL	update?	I was wondering if anyone heard any updates on the guy who was beaten at a sporting event?The last I heard was this, but no update and I wondered if he got better?http://abcnews.go.com/US/san-francisco-giants-fan-bryan-stow-coma-attacked/story?id=13298349
PREG	Missed Miscarriage	How common is it to have 2 missed miscarriages? I had one in May at 10 weeks, but the baby only measured 8 weeks. I'm pregnant again and am only 7 weeks. I was just wondering the possibility of it happening again. Just looking for some percentages..... if possible.
TRMT	VAGINAL CUFF/ ENDOMETRIOSIS	HELLO, I HAD A HYSTEROCTMY JUNE OF 2006. I STILL HAVE MY OVARIES. I STARTED HAVING SOME BROWN DISCHARGE ABOUT A YEAR LATER ASSISTED WITH SOME PRETTY INTENSE PELVIC PAIN. I HAD THE HYSTEROCTMY DUE TO STAGE 4 ENDO AND I ALSO HAD PRE CANCER ON MY CERVIX. MY QUESTION IS...CAN I HAVE ENDOMETRIOSIS ON MY VAGINAL CUFF OR ON MY OVARIES??? THE PAIN FEELS JUST THE SAME AS IT    DID BEFORE THE HYSTEROCTMY AND THE DISCHARGE COMES WITH IT! PLEASE, IF YOU HAVE ANY INSIGHT ON THIS FOR ME IT WOULD BE VERY HELPFUL.THANKS,ROCKINMOM1
TRMT	Recomended diet for HBsAg +ve folks	There are several folks stating vegetarian diet is good for HBsAg. Can anyone comment on what is good and what is bad ?
SOCL	SOAR BEYOND YOUR FEARS !!!	"SOAR BEYOND YOUR FEARS !!!Once there was a king who received a gift of two magnificent falcons from Arabia. They were peregrine falcons, the most beautiful birds he had ever seen. He gave the precious birds to his head falconer to be trained.Months passed and one day the head falconer informed the king that though one of the falcons was flying majestically, soaring high in the sky, the other bird had not moved from its branch since the day it had arrived.The king summoned healers and sorcerers from all the land to tend to the falcon, but no one could make the bird fly. He presented the task to the member of his court, but the next day, the king saw through the palace window that the bird had still not moved from its perch. Having tried everything else, the king thought to himself, ""May be I need someone more familiar with the countryside to understand the nature of this problem."" So he cried out to his court, ""Go and get a farmer.""In the morning, the king was thrilled to see the falcon soaring high above the palace gardens. He said to his court, ""Bring me the doer of this miracle.""The court quickly located the farmer, who came and stood before the king. The king asked him, ""How did you make the falcon fly?""With his head bowed, the farmer said to the king, "" It was very easy, your highness. I simply cut the branch where the bird was sitting.""We are all made to fly -- to realize our incredible potential as human beings. But instead of doing that, we sit on our branches, clinging to the things that are familiar to us. The possibilities are endless, but for most of us, they remain undiscovered. We conform to the familiar, the comfortable, the mundane. So for the most part, our lives are mediocre instead of exciting, thrilling and fulfilling.So let us learn to destroy the branch of fear we cling to and free ourselves to the glory of flight."
FAML	9 yr old giving our valuables away..help!	My nine yr old daughter has been 'trading' many of her toys in which she always gives expensive items away in exchange for 'bubble gum machine' items. When I find this out, I make her return the items and get her things back, but I think most of the time I am unaware of it, until I realize something is missing. I suspect she traded her nintendo DS, since it vanished a while back. She recently confessed when I was looking for my $400.00 heart diamond necklace, that she traded it to the 9 yr old neighbor boy for $1.00. Of course, the boy can't seem to find it, so I will not get this back. The boy's mother believes the boy, when he told her that my daughter kept pesting him for the trade. My daughter tells me that he was the one coaxing her to get the necklace. I believe her. She has been trading expensive items with this same boy quite often, in which I made her go to his house and get her items back. The mother said she was not aware of all of the trading going on. First I want to say, I thought I was a good mother. My kids never went without anything, for the most part, they have more than most of their friends have. My questions are: Why does my daughter not understand or seem to care about the value of things. Why does she continue to do this? I ground her and take her things away for punishment, but she does it again. In my opinion, I think my neighbors 9 yr old boy was wrong also, and I think they should offer to help pay for the loss. Am I wrong here? The response I got from the mother is that her children would never lie, cheat or steal, and they seem to doubt the value of my necklace, since i have no receipt. This necklace had alot of diamonds and a very good chain. I feel betrayed by my own daughter, she said she is sorry, but I really don't think she understands the value and the wrong doing. I am very stressed over this and need some good advice. Thanks!
TRMT	Tingling after Swine Flu Vaccine Chapter 2	Robbo, sorry to hear about your current situation.Sounds like you've been through a lot. I share your anger and distrust of the medical and pharmaceutical industry, although it seemed to me at times to be directed towards the people on this forum.I can't pretend to know what you are going through. I can only say that I hope you get your life back and are on your way back to recovery. Good luck to you.
GOAL	sudden swelling eye	The left side of my head started hurting suddenly and the pain just kept on escalating.. then it sort of focused directly on my left eye - the eye lids (mainly the bottom) started swelling up really fast. Vision is slightly blurred.. This has never happened to me before... I am pretty sure it is not a stye... I have had them before and the pain is different. Does anyone know what this could be? Thank you!Oh, also, earlier today I was taking a picture of my left eye (coincidence?) I forgot to turn the flash off and the flash went directly into my eye - but I felt no immediate pain. Swelling occurred few hours later. Could this be the reason? I am not sure..
DEMO	i cant *** wit everyman!!	i have a problem...when i have sex i neva can ***...i dont know what it is!!!..my sex partner ask me all the time did you *** and i lie!!!..can anybody help me????...and hes not the only male partner ive had the problem wit!!! Help me, i need advise...!!!!
SOCL	U.S. shamefully slow to help vets	"Editor's note: Paul Rieckhoff is an Iraq veteran, the founder and executive director of Iraq and Afghanistan Veterans of America (IAVA) and the author of ""Chasing Ghosts."" Follow him on Twitter @PaulRieckhoff.(CNN) -- Imagine you served for one year with the U.S. Army in Iraq. Imagine you served an additional tour in Afghanistan a year later.And imagine being injured in that last tour after a roadside bomb exploded from beneath a trashcan as your Humvee rolled by. Your buddy sitting next to you was killed. After you left the Army and returned home, you had trouble focusing. You had headaches and issues with your vision. You realize you returned with what might be a Traumatic Brain Injury. And maybe Post-Traumatic Stress Disorder, too.Imagine you also have two kids younger than 7 who haven't seen you very much for the last half decade. Imagine you're struggling to find a job. You've got a lot on your plate. And you're understandably stressed.You don't want to let down your family. And you don't want to be viewed as weak or a wimp by your buddies.You summon the courage to overcome the stigma, and you go to your local Department of Veterans Affairs to get some help. You file a claim for disability benefits to get the care and compensation you've earned and the support you need to keep your family afloat financially. You're hopeful.Now imagine waiting 600 days before you get an answer from the Department of Veterans Affairs. 600 days.600 days of staring at your mailbox. 600 days of phone calls to check in. 600 days of bills piling up. 600 days of disappointment.Sounds crazy, right? Well, for thousands of veterans nationwide, it's real life.If you are a young vet who's filed a claim with the Department of Veterans Affairs in New York or Los Angeles, you will wait an average of 600 days. And you're not alone.More than 900,000 veterans of all generations are stuck in a bureaucratic logjam that, in 2013, is the almost too absurd to believe. After 10 years of war, three VA secretaries, and an increase in the overall department budget of 40% since 2009, an incredible 97% of veteran's claims are still on paper.Yep, paper.America has soldiers in Nevada piloting drones remotely that can strike a target thousands of miles and two continents away, but 97% of our veterans' benefits claims are still on paper.Earlier this month, the Center for Investigative Reporting released a leaked internal VA document that showed the entire world what veterans nationwide have known for years: the VA backlog problem is even worse than reported.The VA has reported that the average claim wait time was 273 days. For the first claim filed, it's longer: 316 to 327 days. In Los Angeles, that figure is 619. In New York, it's 642. In Indianapolis, it's 612 days. And vets with first-time claims in Reno, Nevada, wait 681 days.The VA has testified that it has hired 3,300 new claims processors, but it has failed to report that, because of staff turnover, the net increase in processors is only 300 since 2010. And, in Chicago; Waco, Texas; and Oakland, California, the overall number of claims processors has gone down.Since the internal documents were leaked last week, we've yet to see a public response from VA Secretary Eric Shinseki or from the commander in chief.Some 2.6 million men and woman answered the call to serve in Iraq and Afghanistan. But now, a decade later, President Barack Obama is not answering their calls for help. And the public still doesn't seem to get it.That's why this week I'm joining veterans from across America as we take our stories to Washington.Veteran leaders from some 22 states are converging on the Capitol to ""Storm the Hill,"" where we'll be pressing elected officials to confront and solve the backlog. You can see their faces and read about their stories at the Iraq and Afghanistan Veterans of America website, www.IAVA.org. They are an amazing group of men and women (and one dog) that have overcome tremendous obstacles. And now, they're taking on another one: the VA backlog.Just like we've been trained, we won't quit until the job is done. No matter how long it takes, we'll keep fighting.Our brothers and sisters deserve support for their sacrifices. And every single American should stand with us to #EndTheVAbacklog once and for all.Ten years after the start of the Iraq War, there are a lot of folks who say they support the troops. Now is the time for them to show it.http://www.cnn.com/2013/03/19/opinion/rieckhoff-veteran-benefit-logjam/index.html?hpt=hp_c2"
DISE	Day 8.. damn it lol	As I stated above day 8... damn it lol Well in Dec. I got hit with PAWS.. OMG I was fine, all was going great. no cravings no nothing. going to the gym 4-5 times a week!!! eating right no alcohol.. nadda...I finished my massage classes.. was 2 months into seeing clients.. THEN BAM woke up one morning with a slight pain in my head.. hmmm i thought. eh it will go away. I started walking around and it was like a white noise pain( this is difficult to discribe, as it is an odd sensation, its like someone hit a tuning fork in your mind, and every step you take hits it more and more then you sweat.. Then I was thinking this is like im going through withdrawals AGAIN!. I kept thinkin I havent taking any pills nothing!! WTH am I getting withdrawal symptoms? Then I can deal with the body stuff fine I was still going to gym and getting cold chills in the sauna and steam room. wasn't so bad.. BUT when I started getting pain at night and it interfering with my sleep, I couldn't take it.. it was bad.. joint pain like I couldn't believe runny nose eyes. Diarrhea it wasnt the flu i felt fine during the day other then some slight goose bumps chill sensations.. didnt feel exhausted.. no fever. after about 5 days of this and no or little sleep I found my dealer again and started up I figured only a few days then ill be fine.. YA well.. even now you can lie to yourself.. 3 months later truth awakens in us all. SO now im starting out on day 5 now. this time it isnt too too bad... I mean I feel like crap and goose bump chills no fever, the HOT baths in epson salt helps SO MUCH!!. I left my phone at home and went for a drive yesterday, grabbed a big bottle of Gatorade and rolled up the windows and turned on the heater and drove around and sweated this cr*p out. I felt so good during this.. Kept hydrated, during this. got home and rinsed off in the shower and more water.. that was yesterday. last night I actually slept pretty good.. when I say that I mean I actually had dreams LOL and good 4-5 hour sleep and not just the 1-2 hr then up for 3-4 then back for 1-2.. 5-10 min naps come and go and I welcome then with open arms right now lol ( IM SO TIRED OF POOPING AT THIS POINT!!!) lol I didnt take any thing last time, not gonna change it now ;-) I know everyone is all about aftercare.. I am aftercare, I am me and will always be me, I know my weakness and I can fix me, Not saying that to anyone who goes to the NA meetings or AA.. meetings do work for some, but the idea of telling myself I have to except the things I cannot change annoys the F*ck out of me for some reason lol I CAN CHANGE these things and I did it once Ill do it again. I will get better, I will get back to the gym. 1 day at a time ;-) 1 min at a time. cravings come cravings go away at the same time. Now I know abolut PAWS, SO if I get them Ill be coming here as this does help! Sometimes in life we stumble, and we all fall down, BUT we always seems to get back up and try try again, its all comes with life. Life is good today. Hope it is good for all of you. God Bless!
TRMT	cancer	Its neally a year since I had a full hysterectomy and my stomach is still bloating,can anyone recommend some exercises I can do to help.
DISE	tyrdofpain	I have had cervical spine surgery, discectomy at C4-5 in Jan ,2007. I have had continued pain in my neck, shoulder and arm. Recently I have had a MRI and this is there findings - Postrior fossa structures are normal. There is micrometiallic atifact with in ventral soft tissues of the neck on te right t the C4-5 lever, presumably from discectomy.    Ther is signal void at the disc space, likelyinterbody fusion plug.There isdiffuse loss of disc hydration.C2-3 IntactC3-4 There is very mil uncovertebral joint spurring without stenosis.C4-5 There is sbtle enhancement right posterolateral margin of the disc suggesting granulatin tissue.    There appears to be some remaining osteophytic bone along the uncovertebarl jont.    This may be correlated by plain film.C5-6 There is a prominent ridge of osteophyte extending from the right posterolateral disc margin into the right uncovertebral joint.    There is no significant associated neural foraminal stenosis, mild effacement of right anterior thecal sac.C6-7 IntactThe remainder of the spine appears normal.IMPRESSION:Postsurgical change at C4-5 with low signal intensity focus medial margin of the right neural foramen which appears to enhance after contrast administration and is therein most compatible with granulation tissue.Correlate with plain film for the presence of residual uncovertebal joint spur.End of ReportI do not know what any of this means please help me to understand
PREG	OPK	Does anyone know how long you should hold off on using the bathroom before taking an OPK. I plan to take one at 4pm its 2:30 now and I already have to pee lol.    I don't want to mess up the results by waiting to go, nor do I want to not be able to go enough at 4 urghhh.
PREG	my 1yr old son	Hi i was wondering weather u could help me my son    was born with a heart mermer at a 6 month check up the hospital said he was all clear before we got the all clear his hands and feet used to go blue when he was crying now his face is going blue then starts to go limp.. With his eyes going up in his head please i wonder weather u could help. Im booking him at my gp tomorrow to be on the safe side any information would be a great help.
PREG	Flu after fresh embryo transfer	Has any one had flue after 5dt and got a positive. i am so worried its going to cause problems with implantation. I am now 4dp5dt had the transfer on monday. worried :(
SOCL	mold	so i moved into a house for a year lease,after the first heavy rains came the basement flooded,its still damp. but now i'm noticing mold showing up in the corners ,on a fridgerator and so..how danderous is this?,or safe ..i'm noticing my nose itching as well as my eyes.i'm just gotten over chemo for leukemia ,so getting sick wouldn't be good,anyway of testing the basement levels in the likes of otc test..
FAML	my 11 year old girl	my child screams and yells and i have taken her to mhmr and acadia and none of the meds are helping and she acts like she runs the house and i keep telling her that she is the child and she has rules she runs my boyfriend out of the house and we have been togetheir for 5years and he has to leave untail she calms down please tell me what to do I'm at my last nerve here?
DISE	need help	had    a celestone shot 2cc    about 10 am and about 3 pm started to look pale    now at 8pm still pale an fill heavy numby    what should i do
FAML	Is it behavioral	"My 9 year old son has all of a sudden developed a problem urinating. Of course we start by going to a doctor thinking possible UTI. That test came back negative. So after alot of questions about school, friends, and inappropriate touching the doctor came to the conclusion that this was a behavorial issue. They feel that his bladder has been over-stretched for such a long period of time that it does not return to a normal size after urinating. As a mother I have watched for two days now as my sits on the toilet for hours at a time because he is overly concerned that he will have an accident. He cries not because of pain but he says that he always feels that he must urinate. As soon as he ""empties"" his bladder and stands up he feels that he must go again. Can this really be a behavorial issue?"
GOAL	Cararact surgery	I am diabetic (2005).    My vision changes a few times a year (from -100 to -500).    i amhaving cararact sugery next weeK.    I do not have any other eye problems but i would like to know if once the implants are put in will my vision continue to changfluctuatee?
DISE	Right Upper Pain	I am 38 year old male who for probably the last 20 years of my life have had right upper pains. I had my gallbladder removed and the pain is still there. I have had a ERCP and they said the duct was tight and they cut it to open it up. I was OK for like 3 months and now the pain is back again. I have lost my job due to me missing time because of pain. I can not live a normal life this pain has a hold on me and no one knows what it is. After some research I came across SOD and sounds like what I have but how can I be for sure? I have no insurance now. Thanks
PREG	No ultrasound 3rd trimest normal?	Hello ladies! I'm 37 weeks pregnant and have dialated 1cm, cramping a lot. I have read on here that many have had ultrasounds later in pregnancy, but I honestly haven't had one since early in my last trimester. Is that normal, or should I say something to the doctor? I have a different doctor with this pregnancy than I had with my last, the last one did many throughout. I am getting nervous now that we're nearing the end. I just want her to be healthy!
TRMT	'Universal' flu Vaccine	Could you tell me if there is a push for he new 'universal flu vaccine ' that will prevent all flu strains with a single shot and is it true that in the process the medical community has admitted that the current flu shot is mediaclly useless as it fails to target the correct flu strain ?
